Interval Start,Interval End,Interval Complete,Filters,Media Type,Agent Id,Agent Name,Handle,Avg Handle,Avg Talk,Avg Hold,Avg ACW,Total Handle,Total Talk,Total Hold,Total ACW
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,56,claudia cook,25,25,4,1,1,125,20,5,5
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,22,nancy rodriguez,25,25,4,14,9,125,20,70,45
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,57,darlene morgan,0,0,0,0,5,0,0,0,25
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,44,annette turner,13,13,8,4,7,65,40,20,35
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,34,laura scott,20,20,10,6,1,100,50,30,5
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,32,brenda lopez,15,15,15,0,5,75,75,0,25
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,70,grace james,10,10,7,2,8,50,35,10,40
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,40,ashley carter,22,22,17,2,2,110,85,10,10
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,44,annette turner,2,2,0,1,6,10,0,5,30
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,59,elaine murphy,25,25,14,11,9,125,70,55,45
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,55,christine reed,7,7,3,2,7,35,15,10,35
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,41,amy mitchell,13,13,13,0,8,65,65,0,40
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,4,alice williams,22,22,11,11,10,110,55,55,50
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,57,darlene morgan,24,24,0,21,3,120,0,105,15
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,86,lillie patterson,1,1,0,1,9,5,0,5,45
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,4,alice williams,9,9,6,1,3,45,30,5,15
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,43,anna roberts,10,10,5,3,3,50,25,15,15
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,60,esther bailey,0,0,0,0,9,0,0,0,45
2025-08-18T02:02:00+00:00,2025-08-18T02:02:00+00:00,true,,voice,30,helen king,25,25,14,11,2,125,70,55,10
