Interval Start,Interval End,Interval Complete,Filters,Agent Id,Agent Name,Logged In,On Queue,Idle,Off Queue,Interacting
2025-08-21T01:27:00+00:00,2025-08-21T01:27:00+00:00,true,,39,kenneth nelson,361,266,2,19,69
2025-08-21T01:27:00+00:00,2025-08-21T01:27:00+00:00,true,,39,kenneth nelson,388,250,0,6,130
2025-08-21T01:27:00+00:00,2025-08-21T01:27:00+00:00,true,,25,steven walker,282,70,104,19,56
2025-08-21T01:27:00+00:00,2025-08-21T01:27:00+00:00,true,,43,anna roberts,417,101,19,7,23
2025-08-21T01:27:00+00:00,2025-08-21T01:27:00+00:00,true,,5,michael brown,374,150,110,0,101
2025-08-21T01:27:00+00:00,2025-08-21T01:27:00+00:00,true,,31,george wright,251,174,37,3,29
2025-08-21T01:27:00+00:00,2025-08-21T01:27:00+00:00,true,,73,hazel kelly,472,141,94,18,60
2025-08-21T01:27:00+00:00,2025-08-21T01:27:00+00:00,true,,5,michael brown,246,74,6,8,155
2025-08-21T01:27:00+00:00,2025-08-21T01:27:00+00:00,true,,65,gabrielle ward,409,184,99,33,23
2025-08-21T01:27:00+00:00,2025-08-21T01:27:00+00:00,true,,69,gladys ramirez,366,200,58,26,61
2025-08-21T01:27:00+00:00,2025-08-21T01:27:00+00:00,true,,57,darlene morgan,212,145,0,3,62
2025-08-21T01:27:00+00:00,2025-08-21T01:27:00+00:00,true,,46,beatrice campbell,476,218,2,20,172
2025-08-21T01:27:00+00:00,2025-08-21T01:27:00+00:00,true,,61,faye cooper,424,61,40,24,101
2025-08-21T01:27:00+00:00,2025-08-21T01:27:00+00:00,true,,39,kenneth nelson,264,147,19,0,92
2025-08-21T01:27:00+00:00,2025-08-21T01:27:00+00:00,true,,73,hazel kelly,256,174,0,0,80
2025-08-21T01:27:00+00:00,2025-08-21T01:27:00+00:00,true,,79,judith ross,289,58,39,53,33
2025-08-21T01:27:00+00:00,2025-08-21T01:27:00+00:00,true,,13,patricia jackson,435,177,7,27,140
2025-08-21T01:27:00+00:00,2025-08-21T01:27:00+00:00,true,,29,brian hernandez,313,134,49,37,61
2025-08-21T01:27:00+00:00,2025-08-21T01:27:00+00:00,true,,31,george wright,441,286,26,35,66
2025-08-21T01:27:00+00:00,2025-08-21T01:27:00+00:00,true,,71,gwendolyn watson,309,90,23,3,192
2025-08-21T01:27:00+00:00,2025-08-21T01:27:00+00:00,true,,25,steven walker,237,67,1,0,163
2025-08-21T01:27:00+00:00,2025-08-21T01:27:00+00:00,true,,73,hazel kelly,320,104,28,31,91
2025-08-21T01:27:00+00:00,2025-08-21T01:27:00+00:00,true,,48,carla evans,428,219,71,7,123
2025-08-21T01:27:00+00:00,2025-08-21T01:27:00+00:00,true,,58,elaine bell,458,77,3,32,152
2025-08-21T01:27:00+00:00,2025-08-21T01:27:00+00:00,true,,48,carla evans,322,152,21,0,146
2025-08-21T01:27:00+00:00,2025-08-21T01:27:00+00:00,true,,54,charlotte rogers,438,78,31,28,103
2025-08-21T01:27:00+00:00,2025-08-21T01:27:00+00:00,true,,39,kenneth nelson,417,194,21,13,51
2025-08-21T01:27:00+00:00,2025-08-21T01:27:00+00:00,true,,79,judith ross,397,117,112,2,166
2025-08-21T01:27:00+00:00,2025-08-21T01:27:00+00:00,true,,23,karen lewis,202,182,0,0,20
2025-08-21T01:27:00+00:00,2025-08-21T01:27:00+00:00,true,,43,anna roberts,303,252,0,11,39
2025-08-21T01:27:00+00:00,2025-08-21T01:27:00+00:00,true,,51,cassandra stewart,387,105,32,14,163
2025-08-21T01:27:00+00:00,2025-08-21T01:27:00+00:00,true,,27,kevin allen,328,285,0,0,37
